	Land	Kategorie	Flaeche	Einwohner	BIP in Tsd 2009	BIP in Tsd 2000	Erwerbstaetige_Tsd	Erwerb_LaWi_Tsd	Arbeitslose	Geburten	Zuzug	Wegzug
Muenchen, Landeshauptstadt	Bayern	Kreisfreie Stadt	310,69	1330440	79144359	70489048	951,2	1,9	38604	14305	94744	94957
Rosenheim	Bayern	Kreisfreie Stadt	37,22	60877	2406068	2195280	44,3	0,2	1893	549	4090	3874
Altoetting	Bayern	Landkreis	569,35	107903	4246520	3609672	58,4	0,4	2246	850	6323	6252
Berchtesgadener Land	Bayern	Landkreis	839,92	102034	2455806	2046875	49,7	0,3	1713	750	6949	6672
Bad Toelz-Wolfratshausen	Bayern	Landkreis	1110,69	121247	2791176	2511298	53,5	0,7	1911	999	7870	7415
Dachau	Bayern	Landkreis	579,17	137680	2813947	2290214	50,7	0,5	2049	1146	9659	8749
Ebersberg	Bayern	Landkreis	549,36	127907	3300616	2511319	50,1	0,8	1761	1098	9353	8560
Eichstaett	Bayern	Landkreis	1214,09	124699	2768829	2195447	47,5	0,4	1080	1068	6567	6734
Erding	Bayern	Landkreis	870,7	126370	2770273	2275542	50	0,6	1655	1148	7856	7239
Freising	Bayern	Landkreis	799,81	165483	6563275	5144365	98	0,9	2228	1576	12275	12780
Fuerstenfeldbruck	Bayern	Landkreis	434,79	203129	3899448	3188215	70,8	0,6	3570	1760	14240	12951
Garmisch-Partenkirchen	Bayern	Landkreis	1012,21	86305	1952403	1878037	41,7	0,3	1691	683	6227	6100
Landsberg am Lech	Bayern	Landkreis	804,38	114134	2743142	2183998	51	0,7	1709	899	7388	6992
Miesbach	Bayern	Landkreis	863,47	95484	2448895	1914250	45,5	0,7	1682	800	6948	6569
Muehldorf a.Inn	Bayern	Landkreis	805,32	110258	2741117	2240546	50,3	0,4	2646	893	6405	6090
Muenchen	Bayern	Landkreis	667,02	319573	28627661	22714957	237,3	1,5	4734	2957	27383	25602
Neuburg-Schrobenhausen	Bayern	Landkreis	739,8	91258	2600129	1962686	42,2	0,4	1228	738	4349	4134
Pfaffenhofen a.d.Ilm	Bayern	Landkreis	760,73	116991	2872949	2186313	47	0,6	1360	986	6728	6459
Rosenheim	Bayern	Landkreis	1439,54	248819	5878377	4480192	106,9	1,1	3894	2004	16998	15971
Starnberg	Bayern	Landkreis	487,74	130010	4710061	3899492	60,9	0,6	1682	1039	9648	9324
Traunstein	Bayern	Landkreis	1534,01	170614	4801025	4462646	85,1	0,8	2778	1345	9865	9474
Weilheim-Schongau	Bayern	Landkreis	966,4	130863	3781000	2958907	62,5	0,6	2045	1074	7320	7192
Landshut	Bayern	Kreisfreie Stadt	65,81	62735	2955086	2301462	52,4	0,2	1718	585	4936	4578
Passau	Bayern	Kreisfreie Stadt	69,57	50627	2606880	2061810	47,5	0,1	1541	331	3692	3495
Straubing	Bayern	Kreisfreie Stadt	67,58	44493	1891070	1572336	36,7	0,2	1400	330	2782	2528
Deggendorf	Bayern	Landkreis	861,29	116851	3338218	2889397	62,5	0,8	2609	892	6744	6803
Freyung-Grafenau	Bayern	Landkreis	984,15	79685	1518806	1330254	34,3	0,3	1864	534	3080	3084
Kelheim	Bayern	Landkreis	1066,26	113071	2687308	2236400	49,6	0,9	1977	990	5684	5663
Landshut	Bayern	Landkreis	1347,97	148350	4133690	3159209	58,7	0,9	2306	1245	7964	8133
Passau	Bayern	Landkreis	1530,28	187594	4142822	3521312	79,3	0,8	4260	1413	8837	8687
Regen	Bayern	Landkreis	974,91	79327	1701962	1488841	35,6	0,3	1969	535	3176	3268
Rottal-Inn	Bayern	Landkreis	1281,43	118157	2848692	2462815	55,8	0,6	2320	922	5791	5908
Straubing-Bogen	Bayern	Landkreis	1201,94	97631	1823104	1464575	35,1	0,7	1699	790	4797	4770
Dingolfing-Landau	Bayern	Landkreis	877,78	90673	3940093	2724518	59,1	2,3	1622	683	3919	4155
Amberg	Bayern	Kreisfreie Stadt	50,14	43715	1778890	1528846	32,7	0,1	1756	337	2324	2403
Regensburg	Bayern	Kreisfreie Stadt	80,7	134218	9053170	7348919	136,8	0,2	4419	1322	10320	9646
Weiden i.d.OPf.	Bayern	Kreisfreie Stadt	70,52	42058	1968261	1706462	39,4	0,1	1686	288	2174	2098
Amberg-Sulzbach	Bayern	Landkreis	1255,75	105727	1989342	1749811	37,8	0,3	2448	796	4303	4542
Cham	Bayern	Landkreis	1512,19	128498	3397728	2606684	67,5	0,6	2755	953	4877	5100
Neumarkt i.d.OPf.	Bayern	Landkreis	1344,09	128049	3483163	2610659	60,1	0,4	2017	1032	5646	5530
Neustadt a.d.Waldnaab	Bayern	Landkreis	1427,69	97791	1990598	1750209	35,7	0,4	2222	739	4046	4416
Regensburg	Bayern	Landkreis	1391,96	183045	3136192	2578066	58,1	0,8	2711	1445	9617	9199
Schwandorf	Bayern	Landkreis	1472,89	142979	3549507	3113601	68,3	0,7	3303	1021	6416	6274
Tirschenreuth	Bayern	Landkreis	1084,24	75337	1815907	1543618	32,7	0,3	2136	534	2627	2871
Bamberg	Bayern	Kreisfreie Stadt	54,62	69827	3409432	2871128	66,7	0,3	2286	609	4821	4751
Bayreuth	Bayern	Kreisfreie Stadt	66,91	72576	3311477	2992622	59,1	0,2	2726	510	5561	5627
Coburg	Bayern	Kreisfreie Stadt	48,29	41177	2755001	1835138	40,3	0,1	1732	306	2608	2486
Hof	Bayern	Kreisfreie Stadt	58,03	46779	1603908	1557597	33,5	0,1	2136	341	2630	2796
Bamberg	Bayern	Landkreis	1167,83	144442	2614143	2034799	47,9	0,7	2900	1142	7177	7069
Bayreuth	Bayern	Landkreis	1273,77	106488	1739002	1763171	34,7	0,4	2584	771	4480	4488
Coburg	Bayern	Landkreis	590,47	88943	1829748	1907135	35,9	0,3	2455	604	4058	4278
Forchheim	Bayern	Landkreis	642,83	113236	2050519	1722948	38,1	0,5	2257	882	5003	4924
Hof	Bayern	Landkreis	892,52	101252	2368049	1937231	45,2	0,3	2983	621	4288	4803
Kronach	Bayern	Landkreis	651,54	70941	1770825	1656490	35,8	0,2	1762	491	2688	2924
Kulmbach	Bayern	Landkreis	658,34	74967	1966275	1573955	37,5	0,3	2468	506	3108	3308
Lichtenfels	Bayern	Landkreis	519,97	68286	1921714	1582365	35,6	0,2	1993	497	2858	2877
Wunsiedel i.Fichtelgebirge	Bayern	Landkreis	606,42	77486	1888480	1779171	37,1	0,2	2679	449	3126	3368
Ansbach	Bayern	Kreisfreie Stadt	99,91	40420	1680101	1400312	34,1	0,3	1178	336	2203	2119
Erlangen	Bayern	Kreisfreie Stadt	76,95	105554	7577930	5830026	96,3	0,2	2234	1007	8457	7910
Fuerth	Bayern	Kreisfreie Stadt	63,35	114044	3364495	3053550	54,6	0,3	4635	1012	7908	7740
Nuernberg	Bayern	Kreisfreie Stadt	186,38	503673	21884901	19078229	359,3	1,6	20780	4461	29030	28091
Schwabach	Bayern	Kreisfreie Stadt	40,82	38751	1121579	1061635	20,1	0,2	998	280	2073	1989
Ansbach	Bayern	Landkreis	1971,84	180719	4136260	3391002	77,3	0,8	3316	1417	8293	8654
Erlangen-Hoechstadt	Bayern	Landkreis	564,65	131059	3143917	2718283	55,6	0,3	1629	1056	7581	7551
Fuerth	Bayern	Landkreis	307,55	114475	2045404	1644918	33,1	0,3	2211	868	8261	8135
Nuernberger Land	Bayern	Landkreis	799,56	166491	3974104	3391166	69,5	0,3	2958	1155	8444	8420
Neustadt a.d.Aisch-Bad Windsheim	Bayern	Landkreis	1267,55	98044	2038363	1807058	42,6	0,8	1613	703	4603	4743
Roth	Bayern	Landkreis	895,39	124329	2589628	2115768	50,5	0,5	2021	923	5550	5743
Wei_enburg-Gunzenhausen	Bayern	Landkreis	970,91	92586	2148534	1889877	41,4	0,4	2099	731	3753	3886
Aschaffenburg	Bayern	Kreisfreie Stadt	62,47	68722	3976397	2931133	60,4	0,1	2162	595	4192	4044
Schweinfurt	Bayern	Kreisfreie Stadt	35,7	53533	3568715	3083977	61,7	0,1	2120	471	3120	2944
Wuerzburg	Bayern	Kreisfreie Stadt	87,63	133195	5879832	5330863	112	0,4	3630	960	10819	10696
Aschaffenburg	Bayern	Landkreis	699,18	172990	4709400	4151036	70,3	0,7	2849	1274	9003	9362
Bad Kissingen	Bayern	Landkreis	1136,94	104932	2377110	2200442	52	0,5	2591	733	4693	4976
Rhoen-Grabfeld	Bayern	Landkreis	1021,78	83442	2180413	1877275	40,4	0,4	1760	576	3756	3966
Ha_berge	Bayern	Landkreis	956,4	85379	1918605	1842601	39,7	0,5	1853	629	3848	4149
Kitzingen	Bayern	Landkreis	684,13	88692	2244877	1801187	44,3	1	1641	680	4933	5003
Miltenberg	Bayern	Landkreis	715,86	129047	3108177	2652651	57	0,6	2628	1019	6846	7268
Main-Spessart	Bayern	Landkreis	1321,42	128637	3291678	3035055	60,8	0,6	1854	882	5358	5706
Schweinfurt	Bayern	Landkreis	841,47	113425	2195207	1791547	33,8	0,5	1901	823	5366	5730
Wuerzburg	Bayern	Landkreis	968,4	159963	3279233	2623524	53,9	0,9	2421	1254	8935	9185
Augsburg	Bayern	Kreisfreie Stadt	146,84	263646	10734507	9627498	177,9	0,5	10399	2250	15568	14544
Kaufbeuren	Bayern	Kreisfreie Stadt	40,03	41881	1217834	1119554	25,2	0,1	1294	344	2062	1946
Kempten (Allgaeu)	Bayern	Kreisfreie Stadt	63,28	62007	2616655	2062715	47,4	0,1	1509	542	3953	3829
Memmingen	Bayern	Kreisfreie Stadt	70,14	41085	1923043	1532147	36,3	0,3	849	373	2302	2171
Aichach-Friedberg	Bayern	Landkreis	780,34	127859	2849560	2324532	52,9	0,7	2135	1036	6864	6701
Augsburg	Bayern	Landkreis	1071,15	239898	5085379	4324267	92,1	0,8	4078	1796	13674	13723
Dillingen a.d.Donau	Bayern	Landkreis	792,21	94009	2285083	1826882	42	0,6	1477	786	4350	4564
Guenzburg	Bayern	Landkreis	762,44	120619	4303347	3411003	62,1	0,5	1816	1067	6638	7098
Neu-Ulm	Bayern	Landkreis	515,84	165201	4494733	3860496	78,1	0,4	2668	1401	10190	9685
Lindau (Bodensee)	Bayern	Landkreis	323,44	79858	2033031	1775591	39	0,4	1162	592	5375	5301
Ostallgaeu	Bayern	Landkreis	1394,94	134070	3396563	2880841	63,2	0,6	1932	1070	7413	7188
Unterallgaeu	Bayern	Landkreis	1230,08	135286	3393164	2842071	63,8	0,8	1592	1097	7068	7168
Donau-Ries	Bayern	Landkreis	1274,7	129181	4807200	3330989	77,1	0,8	1760	1099	5961	6183
Oberallgaeu	Bayern	Landkreis	1527,98	150153	3452684	2855206	68,9	0,8	2424	1139	8895	8907
Saarbruecken, Landeshauptstadt	Saarland	Kreisfreie Stadt	167,09	175810	-	-	-	-	-	1373	10551	10763
Merzig-Wadern	Saarland	Landkreis	555,09	105241	2357882	1972646	42,6	0,4	2687	703	5204	5183
Neunkirchen	Saarland	Landkreis	249,25	138586	2609225	2611440	53,4	0,3	4962	886	6354	6805
Saarlouis	Saarland	Landkreis	459,07	204448	5566660	4353146	96,3	0,5	6146	1357	10517	11214
Saarpfalz-Kreis	Saarland	Landkreis	418,41	149680	4572851	4232693	80,3	0,4	4029	1006	6671	6940
St. Wendel	Saarland	Landkreis	476,2	91161	1913390	1813003	35,3	0,2	1994	587	3467	3681
Brandenburg an der Havel	Brandenburg	Kreisfreie Stadt	228,82	72264	1769756	1459005	38,3	0,2	5920	548	2615	2514
Cottbus	Brandenburg	Kreisfreie Stadt	164,28	101671	2765216	2536890	65,7	0,4	8086	791	4491	4330
Frankfurt (Oder)	Brandenburg	Kreisfreie Stadt	147,81	60625	1959135	1675842	41,5	0,3	5206	453	2767	3173
Potsdam	Brandenburg	Landkreis	187,38	154606	5358776	4173586	108	0,5	6610	1654	9878	8572
Barnim	Brandenburg	Landkreis	1471,64	176904	2821287	2319132	64,2	1,5	12316	1367	9517	9117
Dahme-Spreewald	Brandenburg	Landkreis	2261,84	161708	4690645	2814118	68,3	2,5	7620	1203	9810	9157
Elbe-Elster	Brandenburg	Landkreis	1889,43	113586	2016057	1846260	45,5	2,5	10848	705	3557	4721
Havelland	Brandenburg	Landkreis	1717,32	154984	2370672	1925665	57,3	2,2	9718	1166	7886	7619
Maerkisch-Oderland	Brandenburg	Landkreis	2149,64	191067	3265676	2859349	68,3	2,6	13389	1368	10512	10848
Oberhavel	Brandenburg	Landkreis	1798,25	202776	3979062	2882072	71,7	1,7	13485	1531	11516	10390
Oberspreewald-Lausitz	Brandenburg	Landkreis	1216,71	123426	2250522	1966687	48,6	1,5	11840	798	4012	5011
Oder-Spree	Brandenburg	Landkreis	2243,03	185062	3473699	3314025	71,9	2	12611	1363	9719	10616
Ostprignitz-Ruppin	Brandenburg	Landkreis	2508,61	103734	1999518	1740264	46,8	2,7	9055	730	4571	5197
Potsdam-Mittelmark	Brandenburg	Landkreis	2575,16	204594	3670265	3171854	77,7	3,7	9015	1462	11337	10507
Prignitz	Brandenburg	Landkreis	2123,39	83086	1534674	1306890	35,8	2,1	6700	492	3579	4127
Spree-Nei_e	Brandenburg	Landkreis	1648,04	128470	3696718	2616993	47,3	1,6	10083	791	3853	5290
Teltow-Flaeming	Brandenburg	Landkreis	2092,3	161847	3398724	3330995	67,6	2,2	9303	1233	8728	8450
Uckermark	Brandenburg	Landkreis	3058,28	131115	2606833	2744940	53,3	2,9	13654	882	5114	6128
Greifswald, Hansestadt	Mecklenburg-Vorpommern	Kreisfreie Stadt	50,51	54362	-	-	-	0,3	4000	492	4072	3806
Neubrandenburg, Stadt	Mecklenburg-Vorpommern	Kreisfreie Stadt	85,66	65137	-	-	-	0,2	5742	562	2844	3525
Rostock, Hansestadt	Mecklenburg-Vorpommern	Kreisfreie Stadt	181,26	201442	5797674	4908726	107,3	0,5	13988	1828	11321	10848
Schwerin, Landeshauptstadt	Mecklenburg-Vorpommern	Kreisfreie Stadt	130,53	95041	2932020	2542254	65,7	0,2	6894	807	4633	4787
Stralsund, Hansestadt	Mecklenburg-Vorpommern	Kreisfreie Stadt	39,05	57778	-	-	-	0,1	4671	533	3256	3123
Wismar, Hansestadt	Mecklenburg-Vorpommern	Kreisfreie Stadt	41,63	44470	-	-	-	0,1	3465	331	2281	2332
Bad Doberan	Mecklenburg-Vorpommern	Landkreis	1362,39	117430	-	-	-	1,7	6049	868	6828	7214
Demmin	Mecklenburg-Vorpommern	Landkreis	1922	80643	-	-	-	2,3	8568	609	3600	4452
Guestrow	Mecklenburg-Vorpommern	Landkreis	2058,74	99943	-	-	-	2,3	8313	786	5041	5944
Ludwigslust	Mecklenburg-Vorpommern	Landkreis	2517,74	123528	-	-	-	3,1	7071	1005	7483	8209
Mecklenburg-Strelitz	Mecklenburg-Vorpommern	Landkreis	2089,87	78562	-	-	-	1,5	6850	533	3476	4248
Mueritz	Mecklenburg-Vorpommern	Landkreis	1713,77	65210	-	-	-	1,4	4687	509	3437	3781
Nordvorpommern	Mecklenburg-Vorpommern	Landkreis	2172,94	106664	-	-	-	2,2	8868	774	5545	6365
Nordwestmecklenburg	Mecklenburg-Vorpommern	Landkreis	2076,21	117033	-	-	-	2,5	7512	940	6903	7422
Ostvorpommern	Mecklenburg-Vorpommern	Landkreis	1911,23	105924	-	-	-	1,7	9014	767	5740	6213
Parchim	Mecklenburg-Vorpommern	Landkreis	2233,18	96896	-	-	-	2,4	6533	666	4772	5671
Ruegen	Mecklenburg-Vorpommern	Landkreis	977,68	68126	-	-	-	1,1	4990	496	4091	4512
Uecker-Randow	Mecklenburg-Vorpommern	Landkreis	1624,61	73027	-	-	-	1,4	6997	508	3474	4189
Mecklenburgische Seenplatte	Mecklenburg-Vorpommern	Landkreis	-	-	5801074	5153853	130,2	-	-	-	-	-
Rostock	Mecklenburg-Vorpommern	Landkreis	-	-	3973743	3529271	88,2	-	-	-	-	-
Vorpommern-Ruegen	Mecklenburg-Vorpommern	Landkreis	-	-	4489846	3610681	104,9	-	-	-	-	-
Nordwestmecklenburg	Mecklenburg-Vorpommern	Landkreis	-	-	2827115	2363054	60,7	-	-	-	-	-
Vorpommern-Greifswald	Mecklenburg-Vorpommern	Landkreis	-	-	4477600	3804731	109,7	-	-	-	-	-
Ludwigslust-Parchim	Mecklenburg-Vorpommern	Landkreis	-	-	3801787	3214066	88,5	-	-	-	-	-
Chemnitz	Sachsen	Kreisfreie Stadt	-	-	-	-	-	-	-	-	-	-
Plauen	Sachsen	Kreisfreie Stadt	-	-	-	-	-	-	-	-	-	-
Zwickau	Sachsen	Kreisfreie Stadt	-	-	-	-	-	-	-	-	-	-
Annaberg	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Chemnitzer Land	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Freiberg	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Vogtlandkreis	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Mittlerer Erzgebirgskreis	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Mittweida	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Stollberg	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Aue-Schwarzenberg	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Zwickauer Land	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Dresden	Sachsen	Kreisfreie Stadt	-	-	-	-	-	-	-	-	-	-
Goerlitz	Sachsen	Kreisfreie Stadt	-	-	-	-	-	-	-	-	-	-
Hoyerswerda	Sachsen	Kreisfreie Stadt	-	-	-	-	-	-	-	-	-	-
Bautzen	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Mei_en	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Niederschlesischer Oberlausitzkreis	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Riesa-Gro_enhain	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Loebau-Zittau	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Saechsische Schweiz	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Wei_eritzkreis	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Kamenz	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Leipzig	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Delitzsch	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Doebeln	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Leipziger Land	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Muldentalkreis	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Torgau-Oschatz	Sachsen	Landkreis	-	-	-	-	-	-	-	-	-	-
Chemnitz, Stadt	Sachsen	Landkreis	220,84	243089	6595614	5881314	147,1	0,4	16131	1917	9470	9006
Erzgebirgskreis	Sachsen	Landkreis	1828,36	372390	6108743	5360562	152,1	2,9	25614	2853	12363	15260
Mittelsachsen	Sachsen	Landkreis	2113,41	332236	6976613	5418999	146	4,5	20623	2474	12661	14504
Vogtlandkreis	Sachsen	Landkreis	1411,89	247196	4662432	4235982	107,2	2,2	15118	1716	8623	9809
Zwickau	Sachsen	Landkreis	949,33	345118	7248175	6450728	160,7	2,5	21950	2470	11623	13101
Dresden, Stadt	Sachsen	Kreisfreie Stadt	328,31	517052	15731206	12342105	301,9	1,3	29411	5609	27600	23374
Bautzen	Sachsen	Landkreis	2390,67	325032	6170852	5349226	140,1	3,2	21927	2490	11584	14167
Goerlitz	Sachsen	Landkreis	2106,18	281076	5364366	4035800	113,7	2,7	23757	2092	11411	13446
Mei_en	Sachsen	Landkreis	1452,39	254483	4989495	4391125	108,9	3,2	15482	1944	10403	11521
Saechsische Schweiz-Osterzgebirge	Sachsen	Landkreis	1653,67	253843	4153504	3568916	99,5	3,6	15722	2010	10908	11464
Leipzig, Stadt	Sachsen	Kreisfreie Stadt	297,36	518862	13787061	10928290	294,5	0,8	39244	5018	26382	22504
Leipzig	Sachsen	Landkreis	1647,08	269694	5107035	3811838	100	3,2	18508	1972	11443	12476
Nordsachsen	Sachsen	Landkreis	2020,21	208661	4272956	3749139	93	3,9	16087	1528	8078	9784
Dessau-Ro_lau	Sachsen-Anhalt	Kreisfreie Stadt	244,63	87764	2097351	1717661	45,2	0,6	6754	595	2697	3068
Halle (Saale)	Sachsen-Anhalt	Kreisfreie Stadt	135,02	232323	5718844	5212112	127,3	0,4	17049	2203	10428	10459
Magdeburg	Sachsen-Anhalt	Kreisfreie Stadt	200,78	230456	6653258	5500979	142,5	0,4	16269	1900	10877	9702
Altmarkkreis Salzwedel	Sachsen-Anhalt	Landkreis	2292,61	90471	1634005	1394402	37,8	2,2	6874	662	3934	4932
Anhalt-Bitterfeld	Sachsen-Anhalt	Landkreis	1453,03	179263	3606846	3117835	73,9	1,9	14448	1212	6744	8208
Boerde	Sachsen-Anhalt	Landkreis	2366,55	180702	3761178	2976156	70,6	2,6	9947	1308	7420	8692
Burgenlandkreis	Sachsen-Anhalt	Landkreis	1413,62	196422	3465845	3175880	72,9	3,1	17156	1323	8329	9661
Harz	Sachsen-Anhalt	Landkreis	2104,35	234690	4164788	3995810	93,5	2,2	16781	1617	10137	11503
Jerichower Land	Sachsen-Anhalt	Landkreis	1576,74	97355	1873912	1660555	38,8	1,7	6242	655	4417	4581
Mansfeld-Suedharz	Sachsen-Anhalt	Landkreis	1448,77	152523	2324306	2218675	54,4	2,5	14352	946	5590	7160
Saalekreis	Sachsen-Anhalt	Landkreis	1433,4	199025	4749517	4169405	82,8	2,4	13779	1497	8683	10161
Salzlandkreis	Sachsen-Anhalt	Landkreis	1426,3	212605	3817010	3162299	83,9	2,1	15303	1395	7692	9085
Stendal	Sachsen-Anhalt	Landkreis	2423,07	123674	2201434	1948835	50,3	2,3	10927	922	5486	6663
Wittenberg	Sachsen-Anhalt	Landkreis	1929,98	138946	2462165	2179518	53,6	2	9202	909	4715	5634
Dessau	Sachsen-Anhalt	Kreisfreie Stadt	-	-	-	-	-	-	-	-	-	-
Anhalt-Zerbst	Sachsen-Anhalt	Landkreis	-	-	-	-	-	-	-	-	-	-
Bernburg	Sachsen-Anhalt	Landkreis	-	-	-	-	-	-	-	-	-	-
Bitterfeld	Sachsen-Anhalt	Landkreis	-	-	-	-	-	-	-	-	-	-
Koethen	Sachsen-Anhalt	Landkreis	-	-	-	-	-	-	-	-	-	-
Wittenberg	Sachsen-Anhalt	Landkreis	-	-	-	-	-	-	-	-	-	-
Halle (Saale)	Sachsen-Anhalt	Kreisfreie Stadt	-	-	-	-	-	-	-	-	-	-
Burgenlandkreis	Sachsen-Anhalt	Landkreis	-	-	-	-	-	-	-	-	-	-
Mansfelder Land	Sachsen-Anhalt	Landkreis	-	-	-	-	-	-	-	-	-	-
Merseburg-Querfurt	Sachsen-Anhalt	Landkreis	-	-	-	-	-	-	-	-	-	-
Saalkreis	Sachsen-Anhalt	Landkreis	-	-	-	-	-	-	-	-	-	-
Sangerhausen	Sachsen-Anhalt	Landkreis	-	-	-	-	-	-	-	-	-	-
Wei_enfels	Sachsen-Anhalt	Landkreis	-	-	-	-	-	-	-	-	-	-
Magdeburg	Sachsen-Anhalt	Kreisfreie Stadt	-	-	-	-	-	-	-	-	-	-
Aschersleben-Sta_furt	Sachsen-Anhalt	Landkreis	-	-	-	-	-	-	-	-	-	-
Boerdekreis	Sachsen-Anhalt	Landkreis	-	-	-	-	-	-	-	-	-	-
Halberstadt	Sachsen-Anhalt	Landkreis	-	-	-	-	-	-	-	-	-	-
Jerichower Land	Sachsen-Anhalt	Landkreis	-	-	-	-	-	-	-	-	-	-
Ohrekreis	Sachsen-Anhalt	Landkreis	-	-	-	-	-	-	-	-	-	-
Stendal	Sachsen-Anhalt	Landkreis	-	-	-	-	-	-	-	-	-	-
Quedlinburg	Sachsen-Anhalt	Landkreis	-	-	-	-	-	-	-	-	-	-
Schoenebeck	Sachsen-Anhalt	Landkreis	-	-	-	-	-	-	-	-	-	-
Wernigerode	Sachsen-Anhalt	Landkreis	-	-	-	-	-	-	-	-	-	-
Altmarkkreis Salzwedel	Sachsen-Anhalt	Landkreis	-	-	-	-	-	-	-	-	-	-
Erfurt	Thueringen	Kreisfreie Stadt	269,13	203830	6230077	5602739	139	0,9	13646	1827	9160	8320
Gera	Thueringen	Kreisfreie Stadt	151,92	99987	2129305	2062500	54,1	0,3	7797	715	3182	3320
Jena	Thueringen	Kreisfreie Stadt	114,47	104449	2986036	2437130	61,5	0,2	4531	1086	6830	5947
Suhl	Thueringen	Kreisfreie Stadt	102,7	39526	956293	966433	22,3	0,1	2387	196	1239	1651
Weimar	Thueringen	Kreisfreie Stadt	84,19	65233	1565338	1320011	34,2	0,1	3930	642	4132	3795
Eisenach	Thueringen	Kreisfreie Stadt	103,84	42847	1115408	1252141	27,5	0,1	2322	364	1747	1780
Eichsfeld	Thueringen	Landkreis	940,04	106052	1822139	1394549	43,7	1	5408	886	3324	4041
Nordhausen	Thueringen	Landkreis	710,97	90357	1603606	1483529	38,6	0,8	6429	662	3764	4048
Wartburgkreis	Thueringen	Landkreis	1304,86	131820	2361058	2120418	52,9	1,6	5968	919	4471	5503
Unstrut-Hainich-Kreis	Thueringen	Landkreis	975,5	109606	1910617	1684651	45,2	2,1	7423	830	3934	4416
Kyffhaeuserkreis	Thueringen	Landkreis	1035,15	82650	1273967	1249990	31	1,2	7556	559	2753	3340
Schmalkalden-Meiningen	Thueringen	Landkreis	1210,13	131312	2547492	2260067	59	1,1	6387	912	4825	5552
Gotha	Thueringen	Landkreis	935,61	138857	2843752	2440743	62,9	1,8	7072	1046	5471	5990
Soemmerda	Thueringen	Landkreis	804,18	73688	1200402	1116515	26,8	1,4	6108	531	2875	3217
Hildburghausen	Thueringen	Landkreis	937,4	67816	1155866	976238	25,8	1,1	2943	503	2314	2817
Ilm-Kreis	Thueringen	Landkreis	843,14	112804	2301689	1625145	48,3	0,8	7109	858	5539	5597
Weimarer Land	Thueringen	Landkreis	803,03	84935	1468664	1126804	33	1,4	4718	659	3759	4013
Sonneberg	Thueringen	Landkreis	433,48	60560	1161791	826999	26,9	0,4	2665	363	2068	2390
Saalfeld-Rudolstadt	Thueringen	Landkreis	1034,59	118303	2261489	1912389	49,5	1,2	6826	738	4149	4895
Saale-Holzland-Kreis	Thueringen	Landkreis	816,98	87400	1542269	1258658	37,1	1,5	4450	634	4805	5339
Saale-Orla-Kreis	Thueringen	Landkreis	1148,52	88632	1739067	1502810	41,1	1,8	4592	627	3178	3828
Greiz	Thueringen	Landkreis	843,5	109003	1710714	1681888	39,8	1,5	6461	676	3682	4556
Altenburger Land	Thueringen	Landkreis	569,08	100215	1626418	1371042	37,6	1	8475	621	3437	4309
